Zip Code,bars,restaurants,laundry,pizza,hospitals,coffee,boutique,clothing,education,arts
11220,2.3756,2.6390000000000002,1.3302,2.1876000000000007,0.7609999999999999,2.2458,0.10899999999999999,0.6194000000000001,0.7068,1.3814000000000002
11206,2.7366000000000006,2.9140000000000006,1.5448,2.0078,0.2272,2.7840000000000007,0.24120000000000003,2.5832000000000006,1.4624000000000001,2.5474000000000006
10026,2.7030000000000003,3.1400000000000006,2.0474,2.2756000000000003,0.5894,2.6737999999999995,0.9738000000000001,2.0227999999999997,2.1244,2.6957999999999998
10001,2.9530000000000003,3.3516000000000004,1.6918000000000002,2.5486000000000004,2.4202,2.5874000000000006,1.9770000000000003,2.4050000000000002,2.7608000000000006,2.788400000000001
10029,2.8038,3.0248,1.6867999999999999,2.4642,1.0326000000000002,2.4332000000000003,0.6266,1.4924000000000004,1.3893999999999997,2.5872000000000006
10010,3.0195999999999996,3.4552,2.3490000000000006,2.9847999999999995,2.4457999999999993,2.8514000000000004,2.4302,2.5374,2.6491999999999996,2.54
10012,3.2720000000000007,3.9058000000000015,2.176799999999999,3.495399999999999,2.5385999999999997,3.2868000000000004,2.5050000000000003,2.7237999999999998,2.826,2.8026000000000004
10004,2.8491999999999997,3.1752000000000002,1.9259999999999997,2.4706,2.3318000000000003,2.6966,2.3562000000000003,2.5286000000000004,2.592,2.6176
10002,3.1608,3.5144000000000006,2.2446000000000006,2.6232000000000006,0.828,3.0100000000000007,2.6318000000000006,2.7366,2.6931999999999996,2.6804000000000006
10021,3.0226000000000006,3.4658000000000007,2.3878,2.409,2.4218,2.7328,2.3364000000000003,2.0932,2.7541999999999995,2.6816000000000004
10023,2.8651999999999997,3.3674,2.242,2.7826,2.523,2.9942,2.1582,2.2294000000000005,2.7030000000000003,2.7234000000000007
10031,2.5364000000000004,2.7298,2.0877999999999997,2.1792000000000007,0.1816,2.4989999999999997,0.09179999999999999,0.6564,0.3966,1.2264000000000002
11361,2.6551999999999993,2.9386000000000005,2.629599999999999,2.5204,2.1184000000000003,2.7708,1.7882000000000002,2.4796,2.8952,2.9164000000000003
11354,2.5544000000000002,2.8280000000000003,0.6781999999999999,0.6437999999999999,0.6851999999999999,2.3102000000000005,0.5668,0.6244,0.37440000000000007,1.4837999999999998
11365,1.4540000000000002,1.6382,0.09779999999999998,0.5796,0.5146000000000001,0.9404,0.1504,0.3212,0.42060000000000003,0.5414000000000001
11412,0.3546,2.4438,0.9146000000000001,0.5968000000000001,0.272,0.4142,1.2688,0.4934,1.3257999999999999,2.9322000000000004
11101,2.5813999999999995,2.7778,2.2142,2.3686,0.591,2.4794,0.7866,2.3148,2.8802000000000003,2.7484
11374,2.351,2.6526000000000005,2.5138,2.2334,1.9204000000000003,2.4733999999999994,1.6446,2.5347999999999997,2.8934,2.9140000000000006
11691,2.8718000000000004,1.4267999999999998,2.2798,0.5756,0.06280000000000001,0.6574000000000001,0.45499999999999996,1.7396,2.8336,2.9304000000000006
11004,1.1789999999999998,2.3348000000000004,2.2094,1.2492,0.23160000000000003,1.4752000000000003,0.30439999999999995,1.6346,2.7734,2.8792000000000004
11414,0.376,0.4678,0.076,0.29619999999999996,0.12680000000000002,0.18820000000000003,0.0,0.076,0.06020000000000001,0.06020000000000001
11368,2.4762,2.2468000000000004,2.6786,0.3758,0.45280000000000004,0.5092000000000001,0.7534000000000001,0.9510000000000002,2.7922000000000002,2.8930000000000007
10301,0.27260000000000006,0.3782,0.1502,0.23840000000000003,0.0,0.22620000000000004,0.0,0.21480000000000002,0.1504,0.30700000000000005
10314,0.5824,0.8280000000000001,0.030200000000000005,0.3788,0.12800000000000003,0.2218,0.0,0.2138,0.0,0.6184000000000001
